Area,Average Price,Latitude,Longitude
Airport Road,"6,884",18.56154016,73.89221077
Akurdi,"6,572",18.64383967,73.77699893
Alandi,"4,271",18.67845932,73.89388934
Amanora Park Town,"7,997",18.5187766,73.93985667
Ambe Gaon,"5,209",18.44946915,73.84339768
Ambegaon Pathar,"4,336",18.45887593,73.84206529
Anand Nagar,"5,388",18.47453439,73.81814535
Ashoka Nagar,"7,226",18.55920941,73.94237092
Aundh,"9,360","18.56001776494169, 73.80390527659007",
B.T Kawade Road,"7,088","18.517715645226843, 73.90674016975134",
Balewadi,"7,508","18.581337417838423, 73.77028908639721",
Balewadi Gaon,"7,817","18.57627478873512, 73.77962187808545",
Baner,"7,739","18.560784408375753, 73.7787367058017",
Bhugaon,"5,698","18.50091558099485, 73.75168252739597",
Bhukum,"4,766","18.494189989921328, 73.72149641247759",
Bhumkar Nagar,"6,364","18.450351752022737, 73.83310390846381",
Bhusari Colony,"9,221","18.50892681851975, 73.79042652345095",
Bibwewadi,"8,309","18.471516716194692, 73.86646341998018",
Boat Club Road,"13,908","18.539688743309338, 73.88053135480602",
Borade Vasti,"5,127","18.664993589087867, 73.83771831856195",
Camp,"8,714","18.518791565908153, 73.88440403674016",
Chakan,"3,566","18.763514607264863, 73.86135638905986",
Chandani Chowk,"7,010","18.50685734371323, 73.77920501551633",
Charholi Budruk,"5,290","18.645342243939908, 73.89972823475325",
Chikhali,"5,103","18.680226912373648, 73.80974204032852",
Chinchwad,"6,777","18.630597200444313, 73.79660465038624",
Dahanukar Colony,"10,621","18.496288346773166, 73.81128453112247",
Dange Chowk,"6,179","18.613563322645522, 73.76657164131521",
Dattwadi,"6,093","18.632659739458102, 73.74084925898795",
Dehu Road,"5,168","18.681142372774808, 73.73461167794294",
Dhankawadi,"5,872","18.463979481686515, 73.85107509722492",
Dhanori,"5,542","18.590189226820122, 73.89496213920162",
Dhanori Lohegaon Road,"5,269","18.574898947002797, 73.87984582967526",
Dhayari,"5,128","18.43924171423802, 73.80800852530886",
Dighi,"5,296","18.61508579955255, 73.87292537965301",
EON Free Zone,"7,218","18.551574445421895, 73.95098693879753",
Erandwane,"12,993","18.507877226015516, 73.83128916310284",
F C Road,"13,475","18.5173765543046, 73.84170352782215",
Fatima Nagar,"6,624","18.504619548243763, 73.90138583575654",
Gahunje,"6,939","18.668343757943695, 73.70346671473736",
Ganesh Peth,"7,388","18.514383759423215, 73.86626657345118",
Gangadham Kondhwa Road,"8,500","18.478572594329385, 73.87506932715418",
Ghorpadi,"9,560","18.522210157162764, 73.90051198428489",
Gultekdi,"9,328","18.48773548362813, 73.86983596998407",
Hadapsar,"7,204","18.500832193693416, 73.93323830513026",
Handewadi,"4,268","18.454619054622608, 73.93156660994293",
Hinjewadi,"5,761","18.598257142080406, 73.71550170127824",
Kalewadi,"6,140","18.617507055389094, 73.79044620863425",
Kalubai Nagar,"4,885","18.577569181272032, 73.98481309620846",
Kalyani Nagar,"9,854","18.548126796993607, 73.90075239327497",
Karve Nagar,"8,891","18.49152204262842, 73.82139115306515",
Karve Road,"13,401","18.499452406319694, 73.81361245110072",
Kasba Peth,"7,390","18.524056761298016, 73.85984135889484",
Kaspate Vasti,"6,759","18.59263212218564, 73.77184491735791",
Katraj,"5,648","18.446687332094935, 73.85967569222808",
Keshav Nagar,"6,332","18.53245449571932, 73.94462994991069",
Kharadi,"7,136","18.55385687207346, 73.9476892301852",
Kirkitwadi,"4,432","18.444629983132078, 73.78885875830335",
Kiwale,"5,172","18.66134144445806, 73.72937805759298",
Kondhwa,"5,815","18.469400950353418, 73.8893334126091",
Kondhwa Budruk,"5,491","18.441294617814847, 73.89152572350343",
Koregaon Park,"11,021","18.536950388042232, 73.8939931893055",
Kothrud,"10,217","18.502822595735115, 73.80594677670476",
Koyte Vasti,"6,120","18.627688678129502, 73.736210757586",
Law College Road,"14,179","18.511713387420908, 73.82916379713356",
Laxman Nagar-Baner,"9,266","18.57046880702005, 73.77110113138873",
Laxmi Nagar-Balewadi,"7,759","18.575039281265614, 73.77904713619317",
Lohgaon,"5,230","18.59290038249153, 73.92598246502226",
Loni Kalbhor,"3,839","18.48825389590987, 74.02465758432474",
Lulla Nagar,"6,879","18.486506056781817, 73.88300933535153",
Magarpatta City,"8,389","18.510718822048524, 73.92989009898595",
Magarpatta Road,"7,564","18.51583556520342, 73.93287088549421",
Mahalunge,"6,218","18.573764527909546, 73.75623019328052",
Malwadi,"6,603","18.507994098286442, 73.94160004618404",
Mamurdi,"5,232","18.673585228315467, 73.71818654569395",
Manjari Khurd,"5,962","18.527456690052006, 73.99222423189366",
Manjri,"5,661","18.521828341569787, 73.98415080122263",
Manjri Budruk,"5,629","18.519970435492656, 73.97987035320828",
Market Yard,"8,647","18.485465420252773, 73.86818376364756",
Marunji,"5,147","18.61206637853112, 73.71569735811204",
